Timestamp,arm_freq,arm_freq_min,core_freq,core_freq_min,gpu_freq,gpu_freq_min,over_voltage_avs,over_voltage_avs_boost,sdram_freq,arm: frequency(48),core: frequency(1),h264: frequency(28),isp: frequency(45),v3d: frequency(46),core: volt,sdram_c: volt,sdram_i: volt,sdram_p: volt,temp,throttled
2024-02-19 08:16:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.3,0x0
2024-02-19 08:32:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.3,0x0
2024-02-19 08:48:35,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.3,0x0
2024-02-19 09:04:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.3,0x0
2024-02-19 09:20:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.8,0x0
2024-02-19 09:35:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,63.4,0x0
2024-02-19 09:50:50,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,63.9,0x0
2024-02-19 10:06:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,63.4,0x0
2024-02-19 10:22:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,63.4,0x0
2024-02-19 10:38:35,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,63.9,0x0
2024-02-19 10:54:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,64.5,0x0
2024-02-19 11:10:35,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,64.5,0x0
2024-02-19 11:25:35,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.0,0x0
2024-02-19 11:40:51,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,66.6,0x0
2024-02-19 11:56:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.5,0x0
2024-02-19 12:12:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.5,0x0
2024-02-19 12:28:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.5,0x0
2024-02-19 12:44:35,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.5,0x0
2024-02-19 13:00:35,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.5,0x0
2024-02-19 13:16:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.5,0x0
2024-02-19 13:32:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.5,0x0
